Active,Color,DescripLen,Description,DirectionFile,FullWebNote,GovDeliveryTopic,Line,LineForSorting,LineGroup,LineGroupType,LineGroupWebNote,LineID,MapFileName,MapListFile,Name,NoLocalsOnTransbay,PubTimetable,TimetableDate,TransitHubs,UpcomingOrCurrentLineGroup,agency_id,annu_fare,annu_sign_text,crewlist_promote,schedule_note
Yes,MFBlue,215,"Gilman St. & 6th St., Berkeley to Oakland Amtrak at Jack London Square via Gilman St., Hopkins St., Martin Luther King Jr. Way, 55th St., Temescal District, Piedmont Ave., Grand Ave., Broadway, and downtown Oakland.",,,ACTRANSIT_6,12,212,,Local,,AC:12,12-jun07-wv1.pdf,,,,12,2022-08-07,"Ashby BART12th Street BART19th Street Oakland BARTOakland JLS AmtrakOakland JLS Ferry Terminal",,ACTransit,Local,,,
Yes,MFBlue,127,"West Oakland BART to Fruitvale BART via Wood St., 14th St., E. 18th St., E. 21st St., School St., MacArthur Blvd., and High St.",,,ACTRANSIT_7,14,214,,Local,,AC:14,14-jun07-wv1.pdf,,,,14,2022-08-07,"12th Street BARTFruitvale BARTWest Oakland BART",,ACTransit,Local,,,
Yes,MFBlue,102,"Ohlone College to Union Landing Shopping Center via Washington Blvd., Fremont Blvd. and Alvarado Blvd.",,,ACTRANSIT_31,210,3210,,Local,,AC:210,210-jun07-wv1.pdf,,,,210,2022-08-07,"Fremont ACE/AmtrakUnion Landing TC",,ACTransit,Local,,1,
Yes,MFBlue,171,"Fremont BART to Pacific Commons via Walnut Ave., Fremont Blvd., and Auto Mall Parkway. On weekdays, continues to NewPark Mall via Christy St., Allbrae St., and Cedar Blvd.",,,ACTRANSIT_34,212,3212,,Local,,AC:212,212-jun07-wv1.pdf,,,,212,2022-08-07,Fremont BART,,ACTransit,Local,,,
Yes,LFCyan,242,"Fremont BART to Kato Rd. & Benicia St., Fremont, via Gallaudet Dr., Stevenson Blvd., Paseo Padre Pkwy., Grimmer Blvd., Washington Blvd., Osgood Rd., Warm Springs/South Fremont BART, Grimmer Blvd., Fremont Blvd., Landing Pkwy., and Warren Ave.",,,ACTRANSIT_33,215,3215,,Local,,AC:215,215-jun06-wv1.pdf,,,,215,2021-12-05,"Fremont BARTWarm Springs BART",,ACTransit,Local,,,
Yes,MFBlue,148,"Fremont BART to Milpitas BART via Walnut Ave., Mission Blvd., Grimmer Blvd., Warm Springs/South Fremont BART, Warm Springs Blvd., and Milpitas Blvd.",,,ACTRANSIT_36,217,3217,,Local,,AC:217,217-jun07-wv1.pdf,,,,217,2022-06-12,"Fremont BARTWarm Springs BARTMilpitas BART",,ACTransit,Local,,,
Yes,LFCyan,157,"Fremont BART to New Park Mall via Walnut Ave., Mission Blvd., Union City BART, Paseo Padre Pkwy., Ardenwood Blvd., Lido Faire Shopping Center and Cedar Blvd.",,,ACTRANSIT_37,232,3232,,Local,,AC:232,232-jun07-wv1.pdf,,,,232,2022-08-07,"Ardenwood Park & RideFremont BARTUnion City BART",,ACTransit,Local,,,
No,LineFern,225,"From West Oakland Post Office (7th St. & Campbell St.) to Edgewater Dr. & Hegenberger Blvd., Oakland, via via Downtown Oakland, Webster St., Santa Clara Ave., Alameda Towne Center, Otis Dr., Doolittle Dr., and Hegenberger Rd.",,,ACTRANSIT_123,314,3314,,Local,,AC:314,314-jun07-wv1.pdf,,,,314,2011-12-18,"12th Street BARTWest Oakland BART",,ACTransit,Local,,,
No,LineChartreuse,147,"E. E. Cleveland Senior Center to Alameda South Shore Center via Palo Vista Gardens, Allen Temple Arms, Hegenberger Rd., Doolittle Dr., and Otis Dr.",,,ACTRANSIT_129,356,3356,,Local,,AC:356,356-jun07-wv1.pdf,,,,356,2019-12-15,Coliseum BART/Amtrak,,ACTransit,Local,,,
Yes,IrregBrown,213,"El Cerrito Del Norte BART to Pinole Vista via Cutting Blvd., Richmond BART, North Richmond, Contra Costa College, Parchester Village, and Richmond Pkwy. Return via Richmond Parkway Transit Center and Hilltop Mall.",,,ACTRANSIT_130,376,3376,,Local,,AC:376,376-jun07-wv1.pdf,,,,376,2022-08-07,"El Cerrito del Norte BARTHilltop MallRichmond BART/AmtrakRichmond Parkway TCContra Costa College",,ACTransit,Local,,,
Yes,HFRed,95,"Downtown Oakland to Bay Fair BART via Foothill Blvd., Eastmont Transit Center and Bancroft Ave.",,,ACTRANSIT_96,40,240,,Local,,AC:40,"40,840-jun07-wv1.pdf",,,,40,2022-08-07,"12th Street BARTEastmont TCBay Fair BART",,ACTransit,Local,,1,
Yes,MFBlue,153,"Eastmont Transit Center to Foothill Square, Oakland, via Hillmont Ave., Seminary Ave., Coliseum BART, Edes Ave., Sobrante Park, 105th Ave. and 104th Ave.",,,ACTRANSIT_97,45,245,,Local,,AC:45,45-jun07-wv1.pdf,,,,45,2022-08-07,"Coliseum BART/AmtrakEastmont TCFoothill Square",,ACTransit,Local,,,
No,LineOlive,99,"Coliseum BART to Oakland Zoo via 81st Ave., 82nd Ave. Fontaine St., Keller Ave., and Mountain Blvd.",,,ACTRANSIT_98,46,246,,Local,,AC:46,46-jun07-wv1.pdf,,,,46,2020-03-29,Coliseum BART/Amtrak,,ACTransit,Local,,,
No,LineMaroon,87,"Fruitvale BART to Trask St. & 55th Ave., Oakland, via Monticello Ave. and Birdsall Ave.",,,ACTRANSIT_99,47,247,,Local,,AC:47,47-jun07-wv1.pdf,,,,47,2019-12-15,Fruitvale BART,,ACTransit,Local,,,
Yes,MFBlue,207,"University Village to UC campus via University Village, Cedar St., Sacramento St., and University Ave., looping the UC campus via Hearst Ave., Gayley St., Bancroft Way, and Shattuck Ave. (Downtown Berkeley).",,,ACTRANSIT_104,52,252,,Local,,AC:52,52-aug04.pdf,,,,52,2022-08-07,"Berkeley BARTNorth Berkeley BART",,ACTransit,Local,,,
Yes,HFRed,63,Fruitvale BART to Merritt College via 35th Ave. and Redwood Rd.,,,ACTRANSIT_106,54,254,,Local,,AC:54,54-jun07-wv1.pdf,,,,54,2022-06-12,Fruitvale BART,,ACTransit,Local,,,
Yes,HFRed,102,"Public Market Emeryville to Foothill Square, Oakland, via Shellmound St., 40th St. and MacArthur Blvd.",,,ACTRANSIT_15,57,257,,Local,,AC:57,57-jun07-wv1.pdf,,,,57,2022-08-07,"Eastmont TCFoothill SquareMacArthur BARTEmeryville AmtrakChampion Transit Plaza",,ACTransit,Local,,1,
Yes,UnspecGray,160,"North Berkeley BART to Oakland Hebrew Day School, Head Royce High School and Bentley School via University Ave., Southside Berkeley, College Ave. and Ashby Ave.",,,ACTRANSIT_133,604,3604,,Service to Schools,,AC:604,,,,,604,2022-08-07,"North Berkeley BARTBerkeley BART",,ACTransit,Local,,,
Yes,UnspecGray,139,"University Ave. & Shattuck Ave., Berkeley, to Head Royce High School via Southside Berkeley, College Ave., Broadway Terrace, and Montclair.",,,ACTRANSIT_134,605,3605,,Service to Schools,,AC:605,,,,,605,2022-08-07,Berkeley BART,,ACTransit,Local,,,
Yes,UnspecGray,116,"Highland Ave. and Moraga Ave., Piedmont, to Head Royce High School via Highland Ave., Crocker Ave. and Mandana Blvd.",,,ACTRANSIT_41,606,3606,,Service to Schools,,AC:606,,,,,606,2022-08-07,,,ACTransit,Local,,,
Yes,UnspecGray,114,"Point Richmond to Richmond High School via Macdonald Ave., Richmond BART, Harbour Way, Rumrill Blvd., and 23rd St.",,,ACTRANSIT_42,607,3607,,Service to Schools,,AC:607,,,,,607,2022-08-07,Richmond BART/Amtrak,,ACTransit,Local,,,
Yes,MFBlue,103,"West Oakland BART to Fruitvale BART via 7th St., E. 10th St., 8th Ave., Highland Hospital and 23rd Ave.",,,ACTRANSIT_19,62,262,,Local,,AC:62,62-jun07-wv1.pdf,,,,62,2022-08-07,"Fruitvale BARTLake Merritt BARTWest Oakland BART",,ACTransit,Local,,,
Yes,UnspecGray,119,"Cedar Blvd. & Stevenson Blvd., Newark, to Newark Jr. High via Cedar Blvd., Central Ave., Sycamore St. and Thornton Ave.",,,ACTRANSIT_48,620,3620,,Service to Schools,,AC:620,,,,,620,2022-08-07,,,ACTransit,Local,,,
Yes,UnspecGray,144,"Ardenwood Blvd. & Commerce Dr., Fremont to American High School and Thornton Jr. High School via Paseo Padre Pkwy., Decoto Rd. and Fremont Blvd.",,,ACTRANSIT_49,621,3621,,Service to Schools,,AC:621,,,,,621,2022-08-07,,,ACTransit,Local,,,
Yes,UnspecGray,187,"Dixon Landing Rd. & Milpitas Blvd., Milpitas to Irvington High School or Horner Jr. High School via Warm Springs Blvd., Mission Blvd., Paseo Padre Pkwy., Auto Mall Pkwy. and Grimmer Blvd.",,,ACTRANSIT_51,623,3623,,Service to Schools,,AC:623,,,,,623,2022-08-07,,,ACTransit,Local,,,
Yes,UnspecGray,145,"From Mission San Jose High School or Hopkins Jr. High School to Paseo Padre Pkwy. & Mission Blvd., Fremont via Driscoll Rd. and Paseo Padre Pkwy.",,,ACTRANSIT_52,624,3624,,Service to Schools,,AC:624,,,,,624,2022-08-07,,,ACTransit,Local,,,
Yes,UnspecGray,142,"Niles Blvd. & El Portal Ave., Fremont, to Washington High School and Centerville Jr. High School via Niles Blvd., Mowry Ave. and Fremont Blvd.",,,ACTRANSIT_53,625,3625,,Service to Schools,,AC:625,,,,,625,2022-08-07,,,ACTransit,Local,,,
Yes,UnspecGray,105,"Lido Faire Shopping Center to Newark Memorial High School via Newark Blvd., Central Ave., and Cedar Blvd.",,,ACTRANSIT_135,626,3626,,Service to Schools,,AC:626,,,,,626,2022-08-07,,,ACTransit,Local,,,
Yes,UnspecGray,73,Lido Faire Shopping Center to Newark Memorial High School via Cedar Blvd.,,,ACTRANSIT_137,628,3628,,Service to Schools,,AC:628,,,,,626,2022-08-07,,,ACTransit,Local,,,
Yes,UnspecGray,127,"Lido Faire Shopping Center to Newark Memorial High School via Jarvis Ave., Haley St., Sycamore St., Central Ave. and Cherry St.",,,ACTRANSIT_138,629,3629,,Service to Schools,,AC:629,,,,,629,2022-08-07,,,ACTransit,Local,,,
Yes,UnspecGray,120,"Bay Farm Island to Encinal High School via Encinal Ave., Alameda High School, Central Ave., Webster St. and Lincoln Ave.",,,ACTRANSIT_139,631,3631,,Service to Schools,,AC:631,,,,,631,2022-08-07,,,ACTransit,Local,,,
Yes,UnspecGray,115,"73rd Ave. & International Blvd. to Skyline High School via 73rd Ave., MacArthur Blvd., I-580, CA-13 and Redwood Rd.",,,ACTRANSIT_140,638,3638,,Service to Schools,,AC:638,,,,,638,2022-08-07,,,ACTransit,Local,,,
Yes,UnspecGray,117,"Montera Middle School to Snake Rd. & Colton Blvd., Oakland via Snake Rd., Colton Blvd., Saroni Dr., and Colton Blvd. ",,,ACTRANSIT_143,642,3642,,Service to Schools,,AC:642,,,,,642,2022-08-07,,,ACTransit,Local,,,
Yes,UnspecGray,144,"Coliseum BART to Skyline High School and Montera Middle School via 81st Ave., 82nd Ave., Fontaine St., Keller Ave., Hansom Dr. and Skyline Blvd.",,,ACTRANSIT_146,646,3646,,Service to Schools,,AC:646,,,,,646,2022-08-07,Coliseum BART/Amtrak,,ACTransit,Local,,,
Yes,UnspecGray,81,"Fruitvale BART to Skyline High School via High St., Tompkins Ave. and Redwood Rd.",,,ACTRANSIT_148,648,3648,,Service to Schools,,AC:648,,,,,648,2022-08-07,Fruitvale BART,,ACTransit,Local,,,
Yes,UnspecGray,113,"Golf Links Rd. & Dunkirk Ave., Oakland, to Skyline High School via Golf Links Rd., Sequoyah Rd. and Skyline Blvd.",,,ACTRANSIT_54,649,3649,,Service to Schools,,AC:649,,,,,649,2022-08-07,,,ACTransit,Local,,,
Yes,LFCyan,112,"Downtown Berkeley to Lawrence Hall of Science or Senior Ave. via Hearst Ave., Euclid Ave. and Grizzly Peak Blvd.",,,ACTRANSIT_20,65,265,,Local,,AC:65,65-jun07-wv1.pdf,,,,65,2022-08-07,Berkeley BART,,ACTransit,Local,,,
Yes,UnspecGray,227,"Seminary Ave. & International Blvd., Oakland, to Montera Middle School via Seminary Ave., Greenly Dr., Keller Ave., Monte Vista Villas, Hansom Dr., Skyline Blvd., Joaquin Miller Rd., Monterey Blvd., Leimert Blvd. and Park Blvd.",,,ACTRANSIT_55,650,3650,,Service to Schools,,AC:650,,,,,650,2022-08-07,,,ACTransit,Local,,,
Yes,UnspecGray,150,"90th Ave. & International Blvd., Oakland, to Skyline High School via 90th Ave., MacArthur Blvd., 98th Ave., Sequoyah Rd., Hansom Dr. and Skyline Blvd.",,,ACTRANSIT_57,652,3652,,Service to Schools,,AC:652,,,,,652,2022-08-07,,,ACTransit,Local,,,
Yes,UnspecGray,67,Frutivale BART to Skyline High School via 35th Ave. and Redwood Rd.,,,ACTRANSIT_59,654,3654,,Service to Schools,,AC:654,,,,,654,2022-08-07,,,ACTransit,Local,,,
Yes,UnspecGray,120,"Frutivale BART to Montera Middle School via 35th Ave., Redwood Rd., Skyline Blvd., Joaquin Miller Rd. and Mountain Blvd.",,,ACTRANSIT_60,655,3655,,Service to Schools,,AC:655,,,,,655,2022-08-07,,,ACTransit,Local,,,
Yes,UnspecGray,116,"Broadway & MacArthur Blvd., Oakland to Skyline High School via MacArthur Blvd., Lincoln Ave., and Joaquin Miller Rd.",,,ACTRANSIT_62,658,3658,,Service to Schools,,AC:658,,,,,658,2022-08-07,,,ACTransit,Local,,,
Yes,UnspecGray,194,"40th St. & Broadway, Oakland to Skyline High School via 40th St., Broadway, Broadway Terrace, Florence Ave., Harbord Dr., Moraga Ave., Mountain Blvd., Joaquin Miller Road, and Skyline Boulevard.",,,ACTRANSIT_64,662,3662,,Service to Schools,,AC:662,,,,,662,2022-08-07,,,ACTransit,Local,,,
Yes,UnspecGray,167,"Market St. & 6th St., North Richmond to El Cerrito High School and Korematsu Middle School via Market St., Fred Jackson Way, 7th St., Macdonald Ave. and San Pablo Ave.",,,ACTRANSIT_149,667,3667,,Service to Schools,,AC:667,,,,,667,2022-08-07,,,ACTransit,Local,,,
No,UnspecGray,115,"Richmond BART to El Cerrito High School and Portola Middle School via Harbour Way, Cutting Blvd. and San Pablo Ave.",,,ACTRANSIT_150,668,3668,,Service to Schools,,AC:668,,,,,668,2020-08-09,Richmond BART/Amtrak,,ACTransit,Local,,,
Yes,UnspecGray,190,"Contra Costa College to Juan Crespi Middle School via El Portal Dr., Church Lane, San Pablo Dam Rd., Castro Ranch Rd., Carraige Dr., Olinda Rd. Valley View Rd., Appian Way and Fitzgerald Dr.",,,ACTRANSIT_151,669,3669,,Service to Schools,,AC:669,,,,,669,2022-08-07,Contra Costa College,,ACTransit,Local,,,
Yes,MFBlue,84,Downtown Berkeley to Grizzly Peak Blvd. and Spruce St. via Oxford St. and Spruce St.,,,ACTRANSIT_21,67,267,,Local,,AC:67,67-jun07-wv1.pdf,,,,67,2021-12-05,Berkeley BART,,ACTransit,Local,,,
Yes,UnspecGray,168,"Contra Costa College to De Anza High School via Birmingham Dr., Shane Dr., Hilltop Dr., I-80, Fitzgerald Dr., Juan Crespi Middle School, Appian Way, and Valley View Rd.",,,ACTRANSIT_153,671,3671,,Service to Schools,,AC:671,,,,,671,2022-08-07,Contra Costa College,,ACTransit,Local,,,
Yes,UnspecGray,174,"Broadway Ave. & College Ln. to Juan Crespi Middle School via Broadway, 11th St., Stanton Ave., Robert H. Miller Dr., Hilltop Dr., Hilltop Green, Appian Way and Fitzgerald Dr.",,,ACTRANSIT_154,672,3672,,Service to Schools,,AC:672,,,,,672,2022-08-07,Hilltop Mall,,ACTransit,Local,,,
Yes,UnspecGray,154,"Richmond BART to Portola Middle School and El Cerrito High School via Harbour Way, Cutting Blvd., Potrero Ave., 47th St., Carlson Blvd. and Fairmount Ave.",,,ACTRANSIT_157,675,3675,,Service to Schools,,AC:675,,,,,675,2022-08-07,Richmond BART/Amtrak,,ACTransit,Local,,,
Yes,UnspecGray,181,"Contra Costa College to De Anza High School via El Portal Dr., Moyers Rd., Groom Dr., , Hilltop Dr., I-80, Fitzgerald Dr., Juan Crespi Middle School, Appian Way, and Valley View Rd.",,,ACTRANSIT_158,676,3676,,Service to Schools,,AC:676,,,,,676,2022-08-07,Contra Costa College,,ACTransit,Local,,,
No,,155,"Contra Costa College to Juan Crespi Middle School via El Portal Dr., Church Lane, San Pablo Dam Rd., May Rd. Valley View Rd., Appian Way and Fitzgerald Dr.",,,ACTRANSIT_160,679,3679,,Service to Schools,,AC:679,,,,,669,2020-08-09,Contra Costa College,,ACTransit,Local,,,
Yes,UnspecGray,93,"Grand Ave. & MacArthur Blvd., Oakland, to Bishop O&rsquo;Dowd High School via MacArthur Blvd.",,,ACTRANSIT_161,680,3680,,Service to Schools,,AC:680,,,,,680,2022-08-07,,,ACTransit,Local,,,
Yes,UnspecGray,143,"Macdonald Ave. & Richmond Parkway to Levonya DeJean Middle School via Macdonald Ave., Harbour Way, Cutting Blvd, S. 37th St. and Macdonald Ave.",,,ACTRANSIT_162,681,3681,,Service to Schools,,AC:681,,,,,681,2022-08-07,,,ACTransit,Local,,,
Yes,UnspecGray,124,"40th St. & Broadway, Oakland, to Bishop O&rsquo;Dowd High School via Broadway, Broadway Terrace, Mountain Blvd. and Hwy. 13.",,,ACTRANSIT_67,682,3682,,Service to Schools,,AC:682,,,,,682,2022-08-07,,,ACTransit,Local,,,
Yes,MFBlue,83,El Cerrito del Norte BART to Downtown Berkeley via Arlington Ave. and Shattuck Ave.,,,ACTRANSIT_4,7,17,,Local,,AC:7,7-jun07-wv1.pdf,,,,7,2022-03-27,"Berkeley BARTEl Cerrito del Norte BART",,ACTransit,Local,,,
Yes,LFCyan,145,"Richmond BART to Richmond Pkwy. Transit Center via 23rd St., Lincoln Ave., 13th St., Rheem Ave., San Pablo Dam Rd., Appian Way and Fitzgerald Dr.",,,ACTRANSIT_23,70,270,,Local,,AC:70,70-jun07-wv1.pdf,,,,70,2022-03-27,"Richmond BART/AmtrakRichmond Parkway TC",,ACTransit,Local,,,
Yes,MFBlue,195,"El Cerrito Plaza BART to Richmond Parkway Transit Center via Carlson Blvd., Richmond BART, Rumrill Blvd., Contra Costa College, Parchester Village, Giant Highway, Atlas Rd., and Richmond Parkway.",,,ACTRANSIT_24,71,271,,Local,,AC:71,71-jun07-wv1.pdf,,,,71,2022-08-07,"El Cerrito Plaza BARTRichmond BART/AmtrakRichmond Parkway TCContra Costa College",,ACTransit,Local,,,
Yes,MFBlue,137,"Hilltop Mall to Jack London Square via Moyers Rd., Contra Costa College, San Pablo Ave., El Cerrito del Norte BART, and downtown Oakland.",,,ACTRANSIT_25,72,272,,Local,,AC:72,"72,72M,72R,802-jun07-wv1.pdf",,,,72,2022-08-07,"El Cerrito del Norte BARTEl Cerrito Plaza BART12th Street BART19th Street Oakland BARTOakland JLS Ferry TerminalHilltop MallContra Costa College",,ACTransit,Local,,1,
Yes,MFBlue,134,"Point Richmond to Jack London Square via Garrard Blvd., Macdonald Ave., El Cerrito del Norte BART, San Pablo Ave. and downtown Oakland",,,ACTRANSIT_26,72M,272M,72,Local,,AC:72M,"72,72M,72R,802-jun07-wv1.pdf",,,,72,2022-08-07,"El Cerrito del Norte BARTEl Cerrito Plaza BART12th Street BART19th Street Oakland BARTOakland JLS Ferry TerminalRichmond BART/Amtrak",,ACTransit,Local,,,
Yes,HFRed,129,"San Pablo Rapid -- Contra Costa College to Jack London Square via El Cerrito del Norte BART, San Pablo Ave. and downtown Oakland.",,,ACTRANSIT_27,72R,272R,,Local,,AC:72R,"72,72M,72R,802-jun07-wv1.pdf",,,,72R,2022-08-07,"El Cerrito del Norte BART12th Street BART19th Street Oakland BARTOakland JLS Ferry TerminalContra Costa College",,ACTransit,Local,,,
Yes,MFBlue,147,"Marina Bay, Richmond to Castro Ranch Rd. & San Pablo Dam Rd., El Sobrante, via Richmond BART, 23rd St., Contra Costa College and San Pablo Dam Rd. ",,,ACTRANSIT_108,74,274,,Local,,AC:74,74-jun07-wv1.pdf,,,,74,2021-12-05,"Hilltop MallRichmond BART/AmtrakContra Costa College",,ACTransit,Local,,,
Yes,MFBlue,211,"El Cerrito del Norte BART to Richmond Parkway Transit Center via Cutting Blvd., Richmond BART, North Richmond, Market Ave., Church Lane, Road 20, Contra Costa College, Birmingham Dr., Shane Rd. and Hilltop Mall.",,,ACTRANSIT_110,76,276,,Local,,AC:76,76-jun07-wv1.pdf,,,,76,2022-08-07,"El Cerrito del Norte BARTHilltop MallRichmond BART/AmtrakContra Costa CollegeRichmond Parkway TC",,ACTransit,Local,,,
No,LineOlive,123,"Hayward BART to South Hayward BART via A St., Hesperian Blvd., Clawiter Blvd., Investment Blvd., Arden Rd. and Tennyson Rd.",,,ACTRANSIT_112,83,283,,Local,,AC:83,"83,86,386-jun07-z1.pdf",,,,83,2020-03-29,"Hayward BARTSouth Hayward BART",,ACTransit,Local,,,
Yes,LFCyan,138,"Hayward BART to South Hayward BART via Winton Ave., Mack St. (AC Transit Hayward Division), Cabot Blvd., Industrial Blvd. and Tennyson Rd.",,,ACTRANSIT_114,86,286,,Local,,AC:86,"83,86,386-jun07-z1.pdf",,,,86,2022-08-07,"Hayward BARTSouth Hayward BART",,ACTransit,Local,,,
Yes,MFBlue,113,"From Downtown Berkeley to Lake Merritt BART via University Ave., Sacramento St., Market St. and downtown Oakland.",,,ACTRANSIT_116,88,288,,Local,,AC:88,88-jun07-wv1.pdf,,,,88,2022-08-07,"Berkeley BART12th Street BARTLake Merritt BART",,ACTransit,Local,,,
